id,nameGe,nameEn,population,lat,long
"node/34185745","ბიჭვინთა","Pitsunda","7000",40.3372158,43.1597674
"node/34395497","ახალი ათონი","New Athos","3235",40.8138974,43.0881819
"node/160257516","ბათუმი","Batumi","121800",41.6360085,41.6509502
"node/182620747","ფოთი","Poti","47500",41.6748028,42.141614
"node/184688705","რუსთავი","Rustavi","116400",44.9923478,41.5501281
"node/209847414","მარნეული","Marneuli","20100",44.8072569,41.4797868
"node/218366796","ვალე","Vale","5000",42.8776116,41.6168366
"node/218370088","ახალციხე","Akhaltsikhe","19200",42.9859225,41.6395128
"node/218553534","ახალქალაქი","Akhalkalaki","9800",43.4839313,41.4079269
"node/218643951","ქედა","Keda","20024",41.9398463,41.5979339
"node/218704706","შუახევი","Shuakhevi","900",42.1854878,41.624637
"node/218716543","ოზურგეთი","Ozurgeti","18700",42.0059263,41.9230979
"node/218730242","ქუთაისი","Kutaisi","186000",42.705359,42.271584
"node/218752469","თელავი","Telavi","19629",45.4746493,41.918292
"node/218787821","მცხეთა","Mtskheta","7700",44.7195591,41.846295
"node/218853194","გორი","Gori","46680",44.1089577,41.9874329
"node/274202470","ზესტაფონი","Zestaponi","24200",43.0350696,42.1071766
"node/274202979","ხაშური","Khashuri","29341",43.5989395,41.9972652
"node/274262563","სტეფანწმინდა","Stepantsminda","1850",44.6410507,42.6585469
"node/275556330","ახმეტა","Akhmeta","8600",45.2108579,42.0341864
"node/275571942","ლაგოდეხი","Lagodekhi","6900",46.2772162,41.8263247
"node/280181619","ქარელი","Kareli","7200",43.8935335,42.0216487
"node/280679947","ზუგდიდი","Zugdidi","69000",41.8779873,42.5112864
"node/280683308","ბორჯომი","Borjomi","14500",43.3833782,41.8413282
"node/280683309","სენაკი","Senaki","30101",42.0636013,42.2700635
"node/286418463","გუდაუთა","Gudauta","7700",40.6247105,43.102487
"node/286418976","გალი","Gali","7200",41.737236,42.628948
"node/286420246","ტყვარჩელი","Tkuarchal","4821",41.68263,42.8471066
"node/288782540","კასპი","Kaspi","15200",44.4206038,41.9271624
"node/289105944","სიღნაღი","Sighnaghi","2146",45.9220959,41.6184557
"node/289106190","წნორი","Tsnori","6100",45.9780928,41.6182456
"node/289106527","გურჯაანი","Gurjaani","10000",45.7946722,41.7463818
"node/289109199","საგარეჯო","Sagarejo","12600",45.3271378,41.7325942
"node/291725496","წყალტუბო","Tskaltubo","16800",42.5979488,42.3253518
"node/291727016","ჭიათურა","Chiatura","13800",43.2866046,42.2910523
"node/292823695","ქობულეთი","Kobuleti","18600",41.7793202,41.8113601
"node/292823696","ტყიბული","Tkibuli","14500",42.9980769,42.3477177
"node/292825342","ხონი","Khoni","11300",42.4221702,42.3245517
"node/292825343","გარდაბანი","Gardabani","11900",45.0894299,41.4634822
"node/292825344","სურამი","Surami","9800",43.5586205,42.0223521
"node/310037988","წყნეთი","Tskneti","8187",44.6936625,41.6939085
"node/311453425","წალენჯიხა","Tsalendjikha","8900",42.0677958,42.6131131
"node/311732296","თეთრი წყარო","Tetritskaro","4000",44.4625567,41.5427292
"node/311913158","ბაკურიანი","Bakuriani","2400",43.5280065,41.7510862
"node/312934058","კოჯორი","Kojori",,44.7025264,41.6594199
"node/338167531","მარტვილი","Martvili","5600",42.3801746,42.4144214
"node/375718539","აბაშა","Abasha","6400",42.2033321,42.2049284
"node/375727966","ჩხოროწყუ","Chkhorotsku","5900",42.1321257,42.5258474
"node/375730929","მესტია","Mestia","2600",42.725117,43.0437877
"node/387157943","მანგლისი","Manglisi","2752",44.3836448,41.6987722
"node/387159396","საჩხერე","Sachkhere","6700",43.4059465,42.3388168
"node/387172805","ცაგერი","Tsageri","1900",42.7700726,42.6476005
"node/387180719","ახალგორი","Leningor","2400",44.4851837,42.1218994
"node/387606444","ბოლნისი","Bolnisi","10000",44.5369857,41.4496898
"node/387617666","კაზრეთი","Kazreti","7300",44.4186796,41.3866676
"node/388177293","ლანჩხუთი","Lanchkhuti","7900",42.0364392,42.0875384
"node/388180700","დედოფლისწყარო","Dedoplistskaro","7700",46.1026376,41.4642885
"node/388181553","დუშეთი","Dusheti","7300",44.6959371,42.0844709
"node/388184687","ნინოწმინდა","Ninotsminda","6300",43.5922017,41.2653488
"node/389635184","ხობი","Khobi","5600",41.9025799,42.3185298
"node/389636290","თერჯოლა","Terjola","5500",42.9769943,42.1811342
"node/389642124","ჯვარი","Jvari","4800",42.0496433,42.7175724
"node/389644233","ბაღდათი","Baghdati","4700",42.8252226,42.0679322
"node/389665587","ვანი","Vani","4600",42.511975,42.0851175
"node/389677665","დმანისი","Dmanisi","3400",44.2041258,41.3310492
"node/389681534","ონი","Oni","3300",43.4427287,42.585344
"node/389682007","ამბროლაური","Ambrolauri","2500",43.1519007,42.5193765
"node/389687636","წალკა","Tsalka","2000",44.0914431,41.5953381
"node/392118925","ხარაგაული","Kharagauli","8233",43.2031255,42.0142892
"node/393023118","სიონი","Sioni","400",45.0238583,41.9895165
"node/415574362","ასპინძა","Aspindza","3200",43.2504979,41.5727921
"node/430614401","თიანეთი","Tianeti",,44.9678573,42.1099414
"node/448897340","ჯავა","Dzau","1524",43.9229967,42.3904458
"node/457068541","სადახლო","Sadakhlo","9450",44.7937482,41.241194
"node/457090149","აუმიანი","Shaumyani","3630",44.7642225,41.351077
"node/457440730","აბასთუმანი","Abastumani",,42.8319445,41.7532909
"node/457440822","ადიგენი","Adigeni","1221",42.7061207,41.6749791
"node/478639417","ლენტეხი","Lentekhi","1800",42.7239828,42.7894288
"node/479780417","ჩოხატაური","Chokhatauri","2409",42.2399471,42.0192103
"node/480705092","კვაისა","Kvaisa","2264",43.6468291,42.521516
"node/513363722","ოჩამჩირე","Ochamchira","4700",41.4721354,42.7121136
"node/539512318","ყორნისი","Kornisi","755",43.7720795,42.1963754
"node/539541634","აგარა","Agara","3500",43.8203744,42.0376325
"node/540059524","გუდაური","Gudauri",,44.4770286,42.4765577
"node/540544663","ჩაქვი","Chakvi",,41.7334564,41.7187049
"node/540555081","ხელვაჩაური","Khelvachauri","6143",41.6430602,41.589696
"node/540555090","მახინჯაური","Makhinjauri","3400",41.6941421,41.6736764
"node/540579150","ხულო","Khulo","1100",42.3129496,41.6440251
"node/790323861","სოხუმი","Sukhum","62914",41.0192741,43.0033629
"node/793974533","ფასანაური","Pasanauri","724",44.6904581,42.3489314
"node/826106795","ომალო","Omalo","1221",45.6334609,42.3707666
"node/1184107603","ყვარელი","Kvareli","8600",45.8151463,41.9523697
"node/1614277087","თბილისი","Tbilisi","1132000",44.8015019,41.6935247
"node/1636165000","გულრიფში","Gulripsh","3910",41.1030201,42.9213379
"node/1643098992","გაგრა","Gagra","15700",40.265008,43.2858243
"node/1651260327","ზაჰესი","Zahesi","5331",44.7621233,41.828287
"node/1733993072","ანაკლია","Anaklia","2522",41.5621156,42.3920709
"node/2522066856","სამტრედია","Samtredia",,42.3462329,42.1625885
"node/2706851374","ცხინვალი","Tskhinval","45000",43.9708477,42.2251222
